pl_name,hostname,default_flag,pl_bmassprov,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
OGLE-2019-BLG-1470L AB c,OGLE-2019-BLG-1470L A,1,Mass,0,,,,0,699.2225,572.09113,-413.17693,0,,,,0,,,,0,,,,0,,,,0,0.57,0.43,-0.32,0,,,,0
CoRoT-1 b,CoRoT-1,0,Mass,0,16.589,0.673,-0.673,0,359.1479,22.2481,-22.2481,0,1.5089557,,,0,,,,0,5950.0,50.0,-50.0,0,1.14,0.03,-0.03,0,1.03,0.06,-0.06,0,,,,0
WASP-99 b,WASP-99,0,Mass,0,12.33,0.9,-0.56,0,883.53,41.32,-41.32,0,5.75251,4e-05,-4e-05,0,1480.0,40.0,-40.0,0,6180.0,100.0,-100.0,0,1.76,0.11,-0.06,0,1.48,0.1,-0.1,0,4.12,0.02,-0.04,0
KPS-1 b,KPS-1,1,Mass,0,11.545,1.457,-1.345,0,346.4347,27.33338,-27.65121,0,1.706291,5.9e-05,-5.9e-05,0,1459.0,56.0,-56.0,0,5165.0,90.0,-90.0,0,0.91,0.09,-0.08,0,0.89,0.09,-0.1,0,4.47,0.06,-0.06,0
WASP-16 b,WASP-16,0,Mass,0,,,,0,268.88418,10.48839,-10.48839,0,,,,0,,,,0,,,,0,,,,0,0.98,0.05,-0.05,0,,,,0
WASP-96 b,WASP-96,0,Mass,0,13.451,0.673,-0.673,0,155.7367,15.57367,-14.93801,0,3.4252602,2.7e-06,-2.7e-06,0,,,,0,5500.0,150.0,-150.0,0,1.05,0.05,-0.05,0,1.06,0.09,-0.09,0,,,,0
HAT-P-30 b,HAT-P-30,0,Mass,0,16.466,0.437,-0.415,0,232.96939,7.31009,-7.31009,0,2.8106084,1.1e-06,-1.1e-06,0,,,,0,,,,0,1.33,0.03,-0.03,0,,,,0,4.28,0.03,-0.03,0
WASP-62 b,WASP-62,0,Mass,0,15.02,0.56,-0.336,0,184.3414,9.5349,-9.5349,0,4.41194,4e-06,-4e-06,0,1475.3,25.1,-20.0,0,6230.0,80.0,-80.0,0,1.29,0.04,-0.03,0,1.28,0.04,-0.04,0,4.32,0.01,-0.03,0
KELT-14 b,KELT-14,0,Mass,0,17.038,1.345,-1.233,0,380.12468,22.88376,-22.88376,0,1.7100588,2.5e-06,-2.5e-06,0,1904.0,54.0,-54.0,0,5802.0,95.0,-92.0,0,1.37,0.08,-0.08,0,1.18,0.05,-0.07,0,4.23,0.04,-0.04,0
pi Men c,HD 39091,0,Mass,0,,,,0,3.63,0.38,-0.38,0,6.267852,1.6e-05,-1.6e-05,0,,,,0,5998.0,62.0,-62.0,0,1.19,0.0,-0.0,0,1.07,0.04,-0.04,0,,,,0
