,m,T,a,p,wf,sys,ims
196,0.45335572957992554,170.5108218644574,0.2786000072956085,90.79097447484195,0.0,"('Gen-HM', 'run_43')","{'collision_time': array([0.00745232, 0.01782691]), 'mass_i': array([0.45335573, 0.86069256]), 'mass_j': array([0.40733683, 0.38665152]), 'particle_i': array([31, 31], dtype=int64), 'particle_j': array([29, 28], dtype=int64)}"
199,0.220072403550148,276.5632915831676,0.10589999705553055,21.277221482476705,0.0,"('Gen-HM', 'run_44')","{'collision_time': array([0.00227403, 0.00743443, 0.02468423, 1.03144336]), 'mass_i': array([0.2200724 , 0.4309832 , 0.82730252, 1.33465768]), 'mass_j': array([0.2109108 , 0.39631931, 0.50735517, 0.69708294]), 'particle_i': array([16, 16, 16, 16], dtype=int64), 'particle_j': array([15, 14, 12,  7], dtype=int64)}"
200,0.31660664081573486,215.8825877540004,0.1738000065088272,44.73481800648526,0.0,"('Gen-HM', 'run_44')","{'collision_time': array([0.00256059, 0.00569906, 0.04286829]), 'mass_i': array([0.31660664, 0.60447994, 0.90626433]), 'mass_j': array([0.2878733, 0.3017844, 0.5257374]), 'particle_i': array([24, 24, 24], dtype=int64), 'particle_j': array([22, 23, 21], dtype=int64)}"
201,0.349296510219574,203.70543056124333,0.19519999623298645,53.24645509206243,0.0,"('Gen-HM', 'run_44')","{'collision_time': array([0.00288352]), 'mass_i': array([0.34929651]), 'mass_j': array([0.33241588]), 'particle_i': array([26], dtype=int64), 'particle_j': array([25], dtype=int64)}"
202,0.47897616028785706,165.31162768138213,0.2964000105857849,99.62958344378299,0.0,"('Gen-HM', 'run_44')","{'collision_time': array([0.00375358]), 'mass_i': array([0.47897616]), 'mass_j': array([0.45335573]), 'particle_i': array([32], dtype=int64), 'particle_j': array([31], dtype=int64)}"
206,0.21091079711914062,284.74739901456707,0.09989999979734421,19.494819717227678,0.0,"('Gen-HM', 'run_45')","{'collision_time': array([0.00120127, 0.00783917]), 'mass_i': array([0.2109108 , 0.41316618]), 'mass_j': array([0.20225538, 0.34435296]), 'particle_i': array([15, 15], dtype=int64), 'particle_j': array([14, 11], dtype=int64)}"
211,0.15911318361759186,341.63533402750363,0.06939999759197235,11.28782259899718,0.0,"('Gen-HM', 'run_46')","{'collision_time': array([0.00061378, 0.00250689, 0.02130719]), 'mass_i': array([0.15911318, 0.31226204, 0.59131119]), 'mass_j': array([0.15314886, 0.27904914, 0.25949427]), 'particle_i': array([8, 8, 8], dtype=int64), 'particle_j': array([7, 5, 3], dtype=int64)}"
212,0.27479735016822815,239.00357221275215,0.14180000126361847,32.96744910235954,0.0,"('Gen-HM', 'run_46')","{'collision_time': array([0.00321293, 0.00551256, 0.09166984]), 'mass_i': array([0.27479735, 0.53731176, 0.78825182]), 'mass_j': array([0.26251441, 0.25094005, 1.07703623]), 'particle_i': array([21, 21, 21], dtype=int64), 'particle_j': array([20, 19, 18], dtype=int64)}"
213,0.4073368310928345,183.10240063962553,0.24160000681877136,73.31897849571358,0.0,"('Gen-HM', 'run_46')","{'collision_time': array([0.00494853, 0.01554407, 0.19429202]), 'mass_i': array([0.40733683, 0.79398835, 1.44506925]), 'mass_j': array([0.38665152, 0.65108091, 0.64902252]), 'particle_i': array([29, 29, 29], dtype=int64), 'particle_j': array([28, 26, 25], dtype=int64)}"
216,0.220072403550148,275.783136174847,0.10649999976158142,21.45830443674086,0.0,"('Gen-HM', 'run_47')","{'collision_time': array([0.00110208, 0.00113007, 0.02267282, 0.05935688, 0.31241366]), 'mass_i': array([0.2200724 , 0.42232779, 0.63323858, 0.99153639, 1.3100749 ]), 'mass_j': array([0.20225538, 0.2109108 , 0.35829781, 0.3185385 , 0.53854342]), 'particle_i': array([16, 16, 16, 16, 16], dtype=int64), 'particle_j': array([14, 15, 12,  9,  5], dtype=int64)}"
220,0.16538964211940765,333.79152071556746,0.07270000129938126,12.102431138164738,0.0,"('Gen-HM', 'run_48')","{'collision_time': array([0.00092895, 0.01506477, 0.0506683 ]), 'mass_i': array([0.16538964, 0.32450283, 0.62513149]), 'mass_j': array([0.15911318, 0.30062866, 0.53854342]), 'particle_i': array([9, 9, 9], dtype=int64), 'particle_j': array([8, 7, 5], dtype=int64)}"
221,0.2400406450033188,261.4468002915222,0.1185000017285347,25.185381123879832,0.0,"('Gen-HM', 'run_48')","{'collision_time': array([0.00136265, 0.00802225, 0.05040789]), 'mass_i': array([0.24004065, 0.46980612, 0.90078932]), 'mass_j': array([0.22976547, 0.4309832 , 0.53726113]), 'particle_i': array([18, 18, 18], dtype=int64), 'particle_j': array([17, 16, 12], dtype=int64)}"
222,0.3017843961715698,223.05671929780237,0.16279999911785126,40.55576422618013,0.0,"('Gen-HM', 'run_48')","{'collision_time': array([0.0069369 , 0.00861543]), 'mass_i': array([0.3017844 , 0.58965769]), 'mass_j': array([0.2878733 , 0.27479735]), 'particle_i': array([23, 23], dtype=int64), 'particle_j': array([22, 21], dtype=int64)}"
225,0.3017843961715698,224.7192740095626,0.16040000319480896,39.66226858693548,0.0,"('Gen-HM', 'run_49')","{'collision_time': array([0.0068886 , 0.00726069, 0.80131144]), 'mass_i': array([0.3017844 , 0.57658175, 0.86445504]), 'mass_j': array([0.27479735, 0.2878733 , 1.05706799]), 'particle_i': array([23, 23, 23], dtype=int64), 'particle_j': array([21, 22, 17], dtype=int64)}"
229,0.21091079711914062,284.74739901456707,0.09989999979734421,19.494819717227678,0.0,"('Gen-HM', 'run_50')","{'collision_time': array([0.00149393, 0.00322751, 0.07367949, 1.25568626]), 'mass_i': array([0.2109108 , 0.41316618, 0.60723011, 0.93173294]), 'mass_j': array([0.20225538, 0.19406393, 0.32450283, 0.68602322]), 'particle_i': array([15, 15, 15, 15], dtype=int64), 'particle_j': array([14, 13,  9,  6], dtype=int64)}"
230,0.2878732979297638,230.46638117687834,0.1525000035762787,36.76848816803215,0.0,"('Gen-HM', 'run_50')","{'collision_time': array([0.00812012, 0.00992243, 0.08418167]), 'mass_i': array([0.2878733 , 0.56267065, 1.01250853]), 'mass_j': array([0.27479735, 0.44983788, 0.4909807 ]), 'particle_i': array([22, 22, 22], dtype=int64), 'particle_j': array([21, 17, 19], dtype=int64)}"
231,0.429523766040802,177.80868037855217,0.25619998574256897,80.06443516394936,0.0,"('Gen-HM', 'run_50')","{'collision_time': array([0.00513728, 0.01245524, 0.03958918]), 'mass_i': array([0.42952377, 0.8368606 , 1.59085342]), 'mass_j': array([0.40733683, 0.75399283, 0.68171239]), 'particle_i': array([30, 30, 30], dtype=int64), 'particle_j': array([29, 28, 26], dtype=int64)}"
233,0.4025113880634308,183.788322780833,0.23980000615119934,72.50113027060841,0.0,"('Gen-I', 'run_01')","{'collision_time': array([0.00582096]), 'mass_i': array([0.40251139]), 'mass_j': array([0.38214666]), 'particle_i': array([4], dtype=int64), 'particle_j': array([3], dtype=int64)}"
