,m,T,a,p,wf,sys,ims
3003,0.06081749126315117,908.0676370051613,0.09440000355243683,10.594074689176082,,"('Gen-O-s22', 'run_41')","{'collision_time': array([0.00193027, 0.02048816]), 'mass_i': array([0.06081749, 0.11997054]), 'mass_j': array([0.05915305, 0.16805628]), 'particle_i': array([20, 20], dtype=int64), 'particle_j': array([19, 18], dtype=int64)}"
3004,0.11272309720516205,600.729736312814,0.21570000052452087,36.59150174922292,,"('Gen-O-s22', 'run_41')","{'collision_time': array([0.00569602, 0.01158267, 0.01544086, 0.06403734]), 'mass_i': array([0.1127231 , 0.20512364, 0.30370785, 0.40559056]), 'mass_j': array([0.09240054, 0.0985842 , 0.10188272, 0.20076218]), 'particle_i': array([40, 40, 40, 40], dtype=int64), 'particle_j': array([34, 36, 37, 38], dtype=int64)}"
3005,0.1621670424938202,470.52182781190606,0.3515999913215637,76.1514711875363,,"('Gen-O-s22', 'run_41')","{'collision_time': array([0.01566256, 0.06836718, 0.10716532, 0.29482152, 1.92264305]), 'mass_i': array([0.16216704, 0.31821792, 0.54796652, 0.76715314, 1.17699548]), 'mass_j': array([0.15605088, 0.22974861, 0.21918661, 0.40984234, 0.28418672]), 'particle_i': array([50, 50, 50, 50, 50], dtype=int64), 'particle_j': array([49, 42, 44, 48, 47], dtype=int64)}"
3012,0.05033733323216438,1031.213656691692,0.07320000231266022,7.233885937889755,,"('Gen-O-s22', 'run_42')","{'collision_time': array([0.00179143, 0.96450077]), 'mass_i': array([0.05033733, 0.09937973]), 'mass_j': array([0.04904239, 0.28823436]), 'particle_i': array([13, 13], dtype=int64), 'particle_j': array([12,  8], dtype=int64)}"
3013,0.1621670424938202,470.6557102467372,0.3513999879360199,76.08650366921935,,"('Gen-O-s22', 'run_42')","{'collision_time': array([0.05256025, 0.06394046, 0.12139759, 0.22467342, 3.07047628]), 'mass_i': array([0.16216704, 0.30688825, 0.46293913, 0.61318597, 0.75265148]), 'mass_j': array([0.14472121, 0.15605088, 0.15024684, 0.13946551, 0.94701068]), 'particle_i': array([50, 50, 50, 50, 50], dtype=int64), 'particle_j': array([47, 49, 48, 46, 45], dtype=int64)}"
3019,0.051678676158189774,1012.7058199448119,0.07590000331401825,7.637789884225401,,"('Gen-O-s22', 'run_43')","{'collision_time': array([6.55374500e-04, 1.66243896e+00]), 'mass_i': array([0.05167868, 0.10201601]), 'mass_j': array([0.05033733, 0.47706369]), 'particle_i': array([14, 14], dtype=int64), 'particle_j': array([13, 12], dtype=int64)}"
3020,0.1560508757829666,485.2357418417793,0.33059999346733093,69.4319360642941,,"('Gen-O-s22', 'run_43')","{'collision_time': array([0.02353296, 0.02389327, 0.06952947, 0.3488225 , 0.46609508,
       0.60029243, 6.32433482]), 'mass_i': array([0.15605088, 0.29551639, 0.55965894, 0.68046383, 0.79318693,
       0.88861603, 1.30561219]), 'mass_j': array([0.13946551, 0.26414256, 0.12080488, 0.1127231 , 0.09542911,
       0.41699616, 0.39684402]), 'particle_i': array([49, 49, 49, 49, 49, 49, 49], dtype=int64), 'particle_j': array([46, 45, 42, 40, 35, 41, 32], dtype=int64)}"
3026,0.06254605203866959,888.9679250818043,0.09849999845027924,11.291700487489257,,"('Gen-O-s22', 'run_44')","{'collision_time': array([0.00410144, 0.00753373, 0.46475032]), 'mass_i': array([0.06254605, 0.12336354, 0.18091121]), 'mass_j': array([0.06081749, 0.05754766, 0.1510584 ]), 'particle_i': array([21, 21, 21], dtype=int64), 'particle_j': array([20, 18, 14], dtype=int64)}"
3027,0.1560508757829666,485.45604598599243,0.3303000032901764,69.3374525189125,,"('Gen-O-s22', 'run_44')","{'collision_time': array([0.01995717, 0.03541639, 0.0535124 , 0.20857293]), 'mass_i': array([0.15605088, 0.30629772, 0.45101893, 0.81423499]), 'mass_j': array([0.15024684, 0.14472121, 0.36321606, 0.13445447]), 'particle_i': array([49, 49, 49, 49], dtype=int64), 'particle_j': array([48, 47, 44, 45], dtype=int64)}"
3028,0.1685953587293625,459.66812373694614,0.3684000074863434,81.67411927287824,,"('Gen-O-s22', 'run_44')","{'collision_time': array([0.00689734]), 'mass_i': array([0.16859536]), 'mass_j': array([0.16216704]), 'particle_i': array([51], dtype=int64), 'particle_j': array([50], dtype=int64)}"
3032,0.08149604499340057,746.7263964784844,0.1395999938249588,19.0516727516568,,"('Gen-O-s22', 'run_45')","{'collision_time': array([0.00540384, 0.00582312, 0.00947591, 0.13658529, 0.4771602 ,
       0.85289143]), 'mass_i': array([0.08149604, 0.1559159 , 0.22606709, 0.30275119, 0.5701543 ,
       0.86974111]), 'mass_j': array([0.07441986, 0.07015119, 0.0766841 , 0.26740311, 0.29958681,
       0.68665678]), 'particle_i': array([30, 30, 30, 30, 30, 30], dtype=int64), 'particle_j': array([27, 25, 28, 26, 22, 16], dtype=int64)}"
3033,0.09858420491218567,657.7920419210723,0.17990000545978546,27.870950453616857,,"('Gen-O-s22', 'run_45')","{'collision_time': array([0.00436611, 0.01153661, 0.37748593]), 'mass_i': array([0.0985842 , 0.19401331, 0.37591238]), 'mass_j': array([0.09542911, 0.18189907, 0.24981808]), 'particle_i': array([36, 36, 36], dtype=int64), 'particle_j': array([35, 34, 32], dtype=int64)}"
