name,host,p,a,m,rp,g,dp,T,teff,ms,rs,logg,met,ref,pe,ae+,ae-,me+,me-,rpe+,rpe-,ge+,ge-,dpe+,dpe-,Te+,Te-,teffe+,teffe-,mse+,mse-,rse+,rse-,logge+,logge-,mete+,mete-,rpe,me,rpe%,me%,dpe,fp,fpe,fpe+,fpe-,Te,rse,mse,teffe,Host type,Likely nature,wwprob_migrationA_photev,wwprob_migrationB_photev,wwprob_migrationB_impact,namealt,sp
K2-263 b,K2-263,50.818947,0.2573,14.81024782,2.412616544,25.1,0.779974605,470,5372,0.88,0.85,4.45,-0.08,2018MNRAS.481.1839M,9.40E-05,0.0029,0.0029,3.114601474,3.114601474,0.123436195,0.123436195,6.5,5.6,0.217667332,0.199528387,10,10,73,73,0.03,0.03,0.02,0.02,0.1,0.1,0.05,0.05,0.123436195,3.114601474,5.11627907,21.03004292,0.20859786,1.164448016,0.252026748,0.252026748,0.252026748,10,0.02,0.03,73,G,gas-rich,"(51.4, 21.4)","(76.9, 30.1)","(82.3, 25.3)",,
K2-265 b,K2-265,2.369172,0.03376,6.547019424,1.716885261,,0.979502993,,5477,0.915,0.977,4.419,0.078,2018A+A...620A..77L,8.90E-05,0.00021,0.00021,0.82632284,0.82632284,0.112214723,0.112214723,,,0.25394522,0.25394522,,,27,27,0.017,0.017,0.053,0.053,0.053,0.053,0.02,0.02,0.112214723,0.82632284,6.535947712,12.62135922,0.25394522,1.033210807,0.146853142,0.146853142,0.146853142,,0.053,0.017,27,G,bare rocky,"(0.5, 1.6)","(0.1, 0.2)","(0.1, 0.2)",,
K2-291 b,K2-291,2.225177,0.03261,6.483456129,1.591204772,,1.215309269,,5520,0.934,0.899,4.5,0.08,2019AJ....157..116K,6.70E-05,0.00044,0.00044,1.144139317,1.144139317,0.095382515,0.071817423,,,0.344639942,0.272084165,,,60,60,0.038,0.038,0.035,0.033,0.05,0.05,0.04,0.04,0.083599969,1.144139317,5.253878702,17.64705882,0.308362053,0.96010535,0.176779859,0.176779859,0.176779859,,0.034,0.038,60,G,bare rocky,"(0.3, 1.1)","(0.0, 0.1)","(0.1, 0.1)",,
K2-314 b,K2-314,3.5951,0.047,8.739953115,1.95253618,,0.874297116,1616,5430,1.05,1.71,3.99,0.2,2020A+A...636A..89H,0.0003,0.005,0.007,1.080576021,1.080576021,0.089771778,0.078550306,,,0.163250499,0.141483766,149,79,85,85,0.05,0.05,0.04,0.04,0.03,0.03,0.05,0.05,0.084161042,1.080576021,4.310344828,12.36363636,0.152367132,1.086768821,0.142295592,0.142295592,0.142295592,114,0.04,0.05,85,G,bare rocky,"(4.3, 9.8)","(1.1, 3.4)","(0.8, 0.9)",,
K2-314 c,K2-314,15.624,0.13,14.65133958,3.669421441,,0.221295121,990,5430,1.05,1.71,3.99,0.2,2020A+A...636A..89H,0.001,0.01,0.02,1.843335566,1.875117214,0.168322084,0.134657668,,,0.041719572,0.039905677,92,49,85,85,0.05,0.05,0.04,0.04,0.03,0.03,0.05,0.05,0.151489876,1.85922639,4.128440367,12.68980477,0.040812625,1.776215322,0.237026711,0.237026711,0.237026711,70.5,0.04,0.05,85,G,gas-rich,"(39.2, 13.1)","(50.8, 11.0)","(54.0, 7.4)",,
K2-314 d,K2-314,35.747,0.22,10.17012726,3.949958248,,0.125158716,752,5430,1.05,1.71,3.99,0.2,2020A+A...636A..89H,0.005,0.02,0.04,2.447186872,2.415405224,0.134657668,0.123436195,,,0.034463994,0.030836205,69,37,85,85,0.05,0.05,0.04,0.04,0.03,0.03,0.05,0.05,0.129046931,2.431296048,3.267045455,23.90625,0.0326501,2.110289947,0.509180375,0.509180375,0.509180375,53,0.04,0.05,85,G,gas-rich,"(61.8, 9.8)","(84.5, 9.1)","(85.7, 11.6)",,
Kepler-10 b,Kepler-010,0.8374907,0.01685,3.71845278,1.471135018,15.1,0.883366588,2169,5708,0.91,1.065,4.344,-0.15,2016ApJ...819...83W,2.00E-07,0.00013,0.00013,0.41316142,0.41316142,0.030297975,0.02019865,2.2,2.3,0.097950299,0.097950299,96,44,28,28,0.021,0.021,0.009,0.009,0.004,0.004,0.04,0.04,0.025248313,0.41316142,1.71624714,11.11111111,0.097950299,1.031574429,0.115978649,0.115978649,0.115978649,70,0.009,0.021,28,G,bare rocky,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)",,
Kepler-10 c,Kepler-010,45.294262,0.241,7.373342264,2.353142741,,0.42989298,584,5708,0.91,1.065,4.344,-0.15,2017MNRAS.471L.125R,3.80E-05,0.0019,0.0019,1.334829203,1.175920965,0.089771778,0.0403973,,,0.085253038,0.074369672,50,17,28,28,0.021,0.021,0.009,0.009,0.004,0.004,0.04,0.04,0.065084539,1.255375084,2.765855985,17.02586207,0.079811355,1.371337594,0.236542792,0.236542792,0.236542792,33.5,0.009,0.021,28,G,gas-rich,"(58.3, 11.3)","(85.2, 17.4)","(82.8, 27.5)",,
Kepler-11 d,Kepler-011,22.6845,0.159,7.309778969,3.113958562,,0.181389443,,5663,0.961,1.053,4.3755,0.002,2013ApJ...770..131L,0.00021,0.005,0.005,0.794541192,1.493737441,0.02019865,0.02019865,,,0.019952839,0.038091783,,,55,67,0.027,0.024,0.013,0.015,0.0086,0.0101,0.04,0.04,0.02019865,1.144139317,0.648648649,15.65217391,0.029022311,1.818968571,0.284952497,0.284952497,0.284952497,,0.014,0.0255,61,G,gas-rich,"(52.1, 7.7)","(63.8, 17.9)","(69.3, 12.6)",,
Kepler-19 b,Kepler-019,9.2869944,0.084580853,8.39035499,2.21175219,,0.775480601,,5544,0.936,0.85,4.54,-0.08,2017AJ....153..224M,8.80E-06,0.003614566,0.003614566,1.589082384,1.589082384,0.048252331,0.048252331,,,0.147842518,0.147842518,,,20,20,0.04,0.04,0.018,0.018,0.02,0.02,0.02,0.02,0.048252331,1.589082384,2.181633688,18.93939394,0.147842518,1.244704056,0.23729824,0.23729824,0.23729824,,0.018,0.04,20,G,bare water,"(38.3, 30.6)","(24.3, 21.7)","(32.1, 23.5)",,
Kepler-20 b,Kepler-020,3.6961153,0.0463,9.693402545,1.870619432,,1.124614547,1105,5495,0.948,0.964,4.446,0.07,2016AJ....152..160B,1.00E-06,0.0009,0.0015,1.398392498,1.430174146,0.066206687,0.033664417,,,0.199528387,0.181389443,37,37,50,50,0.051,0.051,0.018,0.018,0.01,0.01,0.08,0.08,0.049935552,1.414283322,2.669466107,14.59016393,0.190458915,1.012442201,0.150169082,0.150169082,0.150169082,37,0.018,0.051,50,G,bare rocky,"(9.6, 16.0)","(1.9, 6.0)","(1.1, 1.0)",,
Kepler-20 c,Kepler-020,10.8540909,0.0949,12.74444072,3.04999617,,0.344639942,772,5495,0.948,0.964,4.446,0.07,2016AJ....152..160B,2.80E-06,0.0027,0.0023,2.161152043,2.224715338,0.063962392,0.056107361,,,0.072555777,0.072555777,26,26,50,50,0.051,0.051,0.018,0.018,0.01,0.01,0.08,0.08,0.060034877,2.192933691,1.968359088,17.20698254,0.072555777,1.533076927,0.265516658,0.265516658,0.265516658,26,0.018,0.051,50,G,gas-rich,"(33.7, 16.4)","(39.0, 19.5)","(44.3, 19.8)",,
Kepler-23 b,Kepler-023,7.107163,0.074176629,2.574313463,1.639457102,,0.5841996,,5828,1.078,1.548,4.091,-0.05,2023A+A...669A.117L,7.50E-05,0.005298331,0.005298331,0.444943068,0.41316142,0.047130184,0.047130184,,,0.098804359,0.098804359,,,100,100,0.077,0.077,0.048,0.048,0.057,0.057,0.1,0.1,0.047130184,0.429052244,2.874743326,16.66666667,0.098804359,1.269727373,0.214746122,0.214746122,0.214746122,,0.048,0.077,100,G,bare water,"(18.1, 21.8)","(18.0, 17.5)","(17.7, 9.7)",,
Kepler-23 c,Kepler-023,10.742371,0.097694401,7.818285332,3.008476723,,0.287125358,,5828,1.078,1.548,4.091,-0.05,2023A+A...669A.117L,3.70E-05,0.006978172,0.006978172,1.334829203,1.207702612,0.074061717,0.074061717,,,0.047219089,0.047219089,,,100,100,0.077,0.077,0.048,0.048,0.057,0.057,0.1,0.1,0.074061717,1.271265908,2.461767997,16.2601626,0.047219089,1.725699466,0.283799234,0.283799234,0.283799234,,0.048,0.077,100,G,gas-rich,"(32.3, 10.6)","(39.8, 14.8)","(42.9, 4.8)",,
Kepler-24 b,Kepler-024,8.145207,0.08077929,11.12357669,2.350898446,,0.856136172,,5897,1.06,1.099,4.2,-0.37,2023A+A...669A.117L,5.90E-05,0.005258275,0.005258275,2.256496986,1.938680509,0.092016073,0.090893926,,,0.16484248,0.16484248,,,219,219,0.069,0.069,0.039,0.039,0.15,0.15,0.1,0.1,0.091454999,2.097588747,3.890214797,18.85714286,0.16484248,1.225928376,0.236043144,0.236043144,0.236043144,,0.039,0.069,219,G,gas-rich,"(29.2, 28.8)","(22.8, 23.3)","(24.3, 19.7)",,
Kepler-24 c,Kepler-024,12.33336,0.106517153,9.979437374,2.516976236,,0.625847773,,5897,1.06,1.099,4.2,-0.37,2023A+A...669A.117L,0.000119,0.006933664,0.006933664,2.002243804,1.65264568,0.097626809,0.097626809,,,0.117148548,0.117148548,,,219,219,0.069,0.069,0.039,0.039,0.15,0.15,0.1,0.1,0.097626809,1.827444742,3.878733839,18.31210191,0.117148548,1.351607058,0.25299891,0.25299891,0.25299891,,0.039,0.069,219,G,gas-rich,"(34.4, 24.8)","(31.7, 19.6)","(43.0, 18.4)",,
Kepler-30 b,Kepler-030,29.2187,0.18479,9.184896182,3.759193219,,0.130600399,,5498,0.99,0.95,4.77,0.18,2018MNRAS.478.2480P,0.0009,4.00E-05,4.00E-05,0.095344943,0.095344943,0.179543557,0.179543557,,,0.019952839,0.019952839,,,54,54,0.08,0.08,0.12,0.12,0.23,0.23,0.27,0.27,0.179543557,0.095344943,4.776119403,1.038062284,0.019952839,2.064449721,0.100902585,0.100902585,0.100902585,,0.12,0.08,54,G,gas-rich,"(59.7, 5.3)","(80.5, 5.9)","(83.0, 2.9)",,
Kepler-33 e,Kepler-033,31.7852,0.212,6.610582719,3.545985246,,0.108833666,,5947,1.26,1.66,,0.14,2022AJ....164..242S,0.0002,0.001,0.004,1.112357669,0.985231078,0.089771778,0.089771778,,,0.018138944,0.018138944,,,60,60,0.03,0.06,0.03,0.03,,,0.04,0.04,0.089771778,1.048794374,2.53164557,15.86538462,0.018138944,2.128386556,0.341948771,0.341948771,0.341948771,,0.03,0.045,60,G,gas-rich,"(61.3, 8.8)","(81.7, 8.1)","(85.3, 3.6)",,
Kepler-33 f,Kepler-033,41.0274,0.252,8.199665104,3.961179721,,0.090694722,,5947,1.26,1.66,,0.14,2022AJ....164..242S,0.0002,0.002,0.004,1.589082384,1.207702612,0.089771778,0.089771778,,,0.018138944,0.018138944,,,60,60,0.03,0.06,0.03,0.03,,,0.04,0.04,0.089771778,1.398392498,2.266288952,17.05426357,0.018138944,2.243120601,0.385910611,0.385910611,0.385910611,,0.03,0.045,60,G,gas-rich,"(64.0, 8.4)","(88.0, 6.9)","(88.8, 4.2)",,
