System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
CoRoT-09,TEP,280.78671,6.20422,13.69,11.69,0.337,1.6,2455365.527,0.00037,95.272656,0.000068,5613,36,36,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420,16,16,-999,-999,-999,-999,-999,-999
CoRoT-10,TEP,291.06371,0.74614,15.22,11.78,0.124,1.4,2454273.344,0.0012,13.2406,0.0002,5075,75,75,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78,14,14,3.13,0.88,0.88,647,24,24,-999,-999,-999,-999,-999,-999
CoRoT-11,TEP,280.68729,5.93769,12.8,11.25,0.104,1.2,2454690.498,0.00016,2.994325,0.000021,6343,72,72,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,0,-1,-1,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735,34,34,0.1,2.6,2.6,-999,-999,-999
CoRoT-12,TEP,100.76567,-1.29642,15.52,13.56,0.10726,1.9,2454398.628,0.00024,2.82805268,0.00000065,5675,80,80,0.16,0.1,0.1,1,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.03,0.866,0.084,0.078,0,-1,-1,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12,1.4,1.2,0.337,0.064,0.062,1417,20,20,-999,-999,-999,-999,-999,-999
CoRoT-13,TEP,102.72113,-5.08642,15.04,13.38,0.1308,1,2454790.811,2306,4.0350906,0.0000055,5945,90,90,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.04,0.526,0.072,0.072,0,-1,-1,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432,39,39,-999,-999,-999,-999,-999,-999
CoRoT-14,TEP,103.42417,-5.53603,16.03,13.81,0.0693,0.75,2454787.669,0.0053,1.51214,0.00013,6035,100,100,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,0,-1,-1,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183,27,27,6.8,1.5,1.5,1936,95,95,-999,-999,-999,-999,-999,-999
CoRoT-15,BD,97.11592,6.18625,15.5,13.39,0.135,0.68,2454753.561,0.0011,3.06036,0.00003,6350,200,200,0.1,0.2,0.2,1.31,0.16,0.19,1.36,0.39,0.12,4.288,0.059,0.191,0.52,0.12,0.25,0,-1,-1,0.0458,0.0018,0.0022,64.9,5.45,6.28,1.045,0.347,0.091,1470,240,620,53,13,29,1670,200,80,-999,-999,-999,-999,-999,-999
CoRoT-16,TEP,278.52471,-6.00258,15.63,12.85,0.122,0.9,2454923.914,0.0022,5.35227,0.0002,5650,100,100,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,-1,-1,-1,0.33,0.16,0.11,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-17,TEP,278.69925,-6.61222,15.46,12.47,0.197,0.44,2454923.309,0.0036,3.7681,0.0003,5740,80,80,0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,0,-1,-1,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60,13,27,2.26,0.77,1.35,1610,210,70,-999,-999,-999,-999,-999,-999
CoRoT-18,TEP,98.17233,-0.03158,15,13.01,0.0995,2,2455321.726,0.00024,1.90009,0.0000005,5440,100,100,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,0,-1,-1,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487,19,19,-10,20,20,20,20,20
