System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
CoRoT-28,TEP,278.68838,5.57381,13.78,11.03,0.238,0.3,2455755.847,0.0029,5.20851,0.00038,5150,100,100,0.15,0.1,0.1,1.01,0.14,0.14,1.78,0.11,0.11,3.94,0.12,0.12,0.191,0.004,0.004,0.047,0.055,0.038,0.059,0.0027,0.0027,0.484,0.087,0.087,0.955,0.066,0.066,13.2,5,3.6,0.52,0.2,0.2,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-29,TEP,278.90208,6.47972,15.56,13.05,0.0913,0.6,2456870.538,0.00075,2.8505615,0.0000072,5260,100,100,0.2,0.1,0.1,0.97,0.14,0.14,0.9,0.12,0.12,4.52,0.19,0.19,1.29,0.03,0.03,0.082,0.081,0.081,0.039,0.002,0.002,0.85,0.2,0.2,0.9,0.16,0.16,26,14,9,1.09,0.56,0.56,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-30,TEP,277.60108,6.83594,15.27,13.56,0.16,1.4,2455665.515,0.0012,9.06005,0.00024,5650,100,100,0.02,0.1,0.1,0.98,0.03,0.05,0.91,0.09,0.03,4.4,0.1,0.1,-1,-1,-1,0.007,0.031,0.031,0.0844,0.0012,0.0012,2.9,0.22,0.22,1.009,0.076,0.076,-1,-1,-1,2.6,0.49,0.49,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-31,TEP,94.82075,-4.42228,15.06,13.43,0.15,0.5,2455843.945,0.0044,4.62941,0.00075,5700,120,120,0,0.1,0.1,1.25,0.22,0.21,2.15,0.56,0.66,3.85,0.25,0.25,-1,-1,-1,0.02,0.16,0.16,0.0586,0.0034,0.0034,0.84,0.34,0.34,1.46,0.3,0.3,-1,-1,-1,0.25,0.14,0.14,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-32,TEP,100.19517,9.25744,14.47,12.19,0.104,0.29,2455901.811,0.002,6.71837,0.00001,5970,100,100,0,0.2,0.2,1.08,0.08,0.07,0.79,0.08,0.09,4.67,0.11,0.08,-1,-1,-1,0,-1,-1,0.071,0.001,0.001,0.15,0.1,0.1,0.57,0.06,0.05,13,38,6,0.8,1,0.6,938,65,52,-999,-999,-999,-999,-999,-999
CoRoT-33,BD,279.64129,5.62472,14.89,12.71,0.058,0.28,2456676.399,0.0037,5.819143,0.000018,5225,80,80,0.44,0.1,0.1,0.86,0.04,0.04,0.94,0.14,0.08,4.4,0.1,0.1,-1,-1,-1,0.07,0.0016,0.0016,0.0579,-1,-1,59,1.8,1.7,1.1,0.53,0.53,-1,-1,-1,41,22,22,-1,-1,-1,-999,-999,-999,-999,-999,-999
CoRoT-34,BD,102.87087,-3.81764,14.19,12.68,0.084,0.3,2454787.741,0.0016,2.11853,0.00006,7820,160,160,-0.2,0.2,0.2,1.66,0.08,0.15,1.85,0.29,0.25,4.1,0.1,0.1,-1,-1,-1,0,-1,-1,0.03874,0.00081,0.00081,71.4,8.9,8.6,1.09,0.17,0.16,-1,-1,-1,45,8,8,2425,137,128,-999,-999,-999,-999,-999,-999
CoRoT-35,TEP,289.31429,-2.77467,15.64,12.94,0.175,1.1,2456074.242,0.0018,3.22748,0.00008,6390,130,130,-0.5,0.1,0.1,1.01,0.07,0.06,1.65,0.1,0.11,4.01,0.05,0.05,-1,-1,-1,0,-1,-1,0.0429,0.00092,0.00092,1.1,0.37,0.37,1.68,0.11,0.11,-1,-1,-1,0.22,0.08,0.08,1747,62,62,-999,-999,-999,-999,-999,-999
CoRoT-36,TEP,277.751,7.18336,13.13,11.59,0.208,1,2455662.522,0.00034,5.616531,0.000023,6730,140,140,-0.1,0.1,0.1,1.32,0.09,0.09,1.52,0.2,0.1,4.16,0.06,0.06,-1,-1,-1,0,-1,-1,0.066,0.007,0.007,0,0.68,0,1.41,0.14,0.14,-1,-1,-1,-1,-1,-1,1567,35,35,275.8,11.3,11.3,-999,-999,-999
DS_Tuc,TEP,354.9145,-69.19575,8.23,6.68,0.13,0.4,2458332.309,0.00037,8.138268,0.000011,5598,28,59,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,4.6,0.15,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.0453,0,0.5,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.93,0.88,0.87,-999,-999,-999
EPIC_210768568,TEP,58.00346,19.39119,12.24,10.27,0.12,0.005,2457064.836,0.0019,3.2141,0.0002,5414,138,138,-0.03,0.24,0.24,1.02,0.13,0.13,1.375,0.068,0.068,4.169,0.074,0.074,-1,-1,-1,-1,-1,-1,0.0511,0.0021,0.0028,-1,-1,-1,0.0883,0.0044,0.0043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_212036875,BD,134.69029,20.86908,10.95,9.77,0.08911,0.3,2458140.038,0.00016,5.169884,0.000027,6238,59,60,0.007,0.096,0.096,1.288,0.065,0.064,1.498,0.025,0.026,4.193,0.025,0.024,0.382,0.021,0.019,0.1323,0.0041,0.0042,0.0645,0.0011,0.0011,52.3,1.9,1.9,0.874,0.017,0.017,1694,68,65,73.2,3.9,3.8,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201170410,TEP,170.14087,-4.807,16.44,12.86,0.077,0.14,2456813.149,0.0006,6.7987,0.0001,3648,172,143,-0.05,0.15,0.21,0.287,0.101,0.084,0.282,0.074,0.069,4.999,0.075,0.075,-1,-1,-1,0,-1,-1,0.0349,0.0027,0.0022,-1,-1,-1,0.094,0.025,0.023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201702477,BD,175.24071,3.68153,14.57,12.77,0.168,0.6,2456811.546,0.0011,40.73691,0.00037,5492,60,60,-0.2,0.04,0.04,0.87,0.031,0.031,0.901,0.057,0.057,4.466,0.058,0.058,1.18,0.24,0.24,0.2281,0.0026,0.0026,0.757,0.065,0.065,66.9,1.7,1.7,0.757,0.065,0.065,-1,-1,-1,144,38,38,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_201757695,TEP,173.9385,4.61644,15.02,12.15,0.076,0.02,2456811.637,0.0008,2.0478,0.0001,4520,108,54,0,0.12,0.3,0.727,0.044,0.053,0.655,0.041,0.045,4.659,0.035,0.025,-1,-1,-1,0,-1,-1,0.0296,0.0005,0.0005,-1,-1,-1,0.081,0.0053,0.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_219388192,BD,289.39183,-16.87161,12.54,10.73,0.13928,1,2457346.33,0.00008,5.2926,0.000018,5755,49,49,0.203,0.086,0.091,1.101,0.039,0.045,1.029,0.016,0.016,4.455,0.018,0.02,1.009,0.054,0.054,0.1891,0.0021,0.0022,0.06206,0.00071,0.00084,39.2,1.1,1.1,0.941,0.019,0.019,1096,52,49,44,2.9,2.7,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246078343b,TEP,353.41758,-7.61194,15.16,11.86,0.08,0.02,2457738.691,0.0019,0.8094,0.00003,4116,138,138,-0.2,0.24,0.24,0.81,0.36,0.26,0.7,0.055,0.048,4.65,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0258,0.0023,0.0025,-1,-1,-1,0.0678,0.0068,0.0044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246078343c,TEP,353.41758,-7.61194,15.16,11.86,0.14,0.04,2457739.691,0.0024,5.3301,0.0003,4116,138,138,-0.2,0.24,0.24,0.81,0.36,0.26,0.7,0.055,0.048,4.65,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0426,0.0016,0.0019,-1,-1,-1,0.11,0.005,0.0053,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246220667b,TEP,351.63625,-4.60658,14.38,11.44,0.17,0.1,2457740.258,0.0011,6.669,0.0002,4323,138,138,-0.1,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0552,0.0017,0.0023,-1,-1,-1,0.1721,0.0056,0.0065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_246220667c,TEP,351.63625,-4.60658,14.38,11.44,0.15,0.04,2457742.098,0.0013,4.3696,0.0001,4323,138,138,-0.1,0.24,0.24,0.81,0.36,0.26,0.732,0.055,0.052,4.61,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0487,0.0027,0.0031,-1,-1,-1,0.1088,0.009,0.0065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_247422570,TEP,76.26217,21.58017,15.67,12.54,0.16,0.05,2457823.145,0.0035,5.9382,0.0005,5590,138,138,0.01,0.24,0.24,0.89,0.41,0.28,0.977,0.066,0.063,4.41,0.15,0.15,-1,-1,-1,-1,-1,-1,0.0586,0.0032,0.0033,-1,-1,-1,0.1888,0.0094,0.0094,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
EPIC_249631677,TEP,228.02163,-20.1085,17.67,11.84,0.0342,0.2,2457990.862,0.0011,3.1443189,0.0000049,3300,30,30,-0.24,0.09,0.09,0.174,0.004,0.004,0.196,0.006,0.006,5.094,0.006,0.006,23.1,0.7,0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0848,0.0052,0.0052,-1,-1,-1,-1,-1,-1,460,5,5,-999,-999,-999,-999,-999,-999
G_9-40,TEP,134.71804,21.07617,13.82,9.19,0.0705,0.37,2459503.327,0.00042,5.7459982,0.000002,3395,51,51,-0.07,0.16,0.16,0.295,0.014,0.014,0.3026,0.0095,0.0095,4.84,0.04,0.04,10,0.7,0.65,0,-1,-1,0.0418,0.00064,0.00064,0.0126,0.002,0.002,0.1695,0.0058,0.0058,10.8,1.8,1.8,2.41,0.51,0.4,441,8,8,-999,-999,-999,-999,-999,-999
Gaia-001,TEP,90.64363,-0.57694,13.24,11.27,0.092,1.3,2458468.185,0.00057,3.052524,0.000017,5470,110,110,-1,-1,-1,0.949,0.066,0.066,0.952,0.025,0.025,-1,-1,-1,1.1,0.12,0.12,0,-1,-1,0.04047,0.00094,0.00094,1.68,0.11,0.11,1.229,0.021,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
Gaia-002,TEP,110.73525,67.25256,11.28,9.74,0.092,1.7,2458843.989,0.00019,3.6915237,0.0000035,5720,84,84,-1,-1,-1,1,0.095,0.095,1.064,0.031,0.031,-1,-1,-1,1.05,0.22,0.22,0.346,0.023,0.023,0.0467,0.0015,0.0015,0.773,0.041,0.041,1.327,0.014,0.014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-999,-999,-999,-999,-999,-999
GJ_0357,TEP,144.00683,-21.66081,10.91,6.48,0.053,0.1,2458517.999,0.0001,3.93086,0.00004,3505,51,51,-0.12,0.16,0.16,0.342,0.011,0.011,0.337,0.015,0.015,4.94,0.07,0.07,9.2,1.1,1.1,0,-1,-1,0.033,0.001,0.001,0.0066,0.001,0.001,0.1041,0.0033,0.0032,11.7,2.6,2.3,1.81,0.34,0.31,531,12,11,-999,-999,-999,-999,-999,-999
