2458745.6595100001 0.1767987585 2.1127959119 HARPS-POST
2458746.4873500001 -0.2672942150 1.7021728639 HARPS-POST
2458746.7137500001 2.3334688241 2.7208318689 HARPS-POST
2458747.4864599998 -3.8349561692 1.4007473894 HARPS-POST
2458747.5011800001 -3.8954304001 2.0233582519 HARPS-POST
2458747.7212200002 2.0194759844 1.9740815735 HARPS-POST
2458747.7360800002 2.2340110203 2.2659791187 HARPS-POST
2458748.5222999998 -6.4061350478 1.6220749348 HARPS-POST
2458748.7163399998 0.2715595898 1.9645661574 HARPS-POST
2458748.7312300000 -2.8319473167 2.2729404933 HARPS-POST
2458750.6007300001 -8.3438688065 1.4109998863 HARPS-POST
2458750.6155900001 -8.2684468803 1.7707116032 HARPS-POST
2458754.5750699998 -6.6279465004 2.2621512171 HARPS-POST
2458754.5833200002 -8.8933209753 2.5150508061 HARPS-POST
2458755.5709699998 -7.2192453098 2.1046911596 HARPS-POST
2458755.5787399998 -4.7623916520 2.1588851147 HARPS-POST
2458756.5932700001 -13.4464274529 3.9801737658 HARPS-POST
2458756.6013799999 -7.5694923121 3.2118376762 HARPS-POST
2458757.5228300001 -10.9121936063 1.9344648487 HARPS-POST
2458757.6173100001 -12.0952882362 2.3541547057 HARPS-POST
2458757.6324399998 -11.7701668467 2.7656829771 HARPS-POST
2458761.5162599999 -7.7427029344 1.6100321420 HARPS-POST
2458762.5086800000 -9.2961214755 1.3266274793 HARPS-POST
2458762.5222900002 -7.8436884000 1.1784953097 HARPS-POST
2458772.6167199998 -6.6736399914 3.1759216130 HARPS-POST
2458775.5313599999 -12.8107007211 1.7766490435 HARPS-POST
2458775.6513600000 -9.3523651836 1.5800285890 HARPS-POST
2458776.5942099998 -9.9003222711 2.4650866605 HARPS-POST
2458776.6259699999 -6.6457459967 3.7411977917 HARPS-POST
2458777.5131100002 -4.9170345607 2.9030862982 HARPS-POST
2458777.5997700002 -7.8914794835 2.7001424182 HARPS-POST
2458791.5371599998 -11.5541823829 2.5445760618 HARPS-POST
2458791.5503500002 -5.9836740591 2.8593137664 HARPS-POST
2458792.5803100001 -7.0091475194 1.6386400520 HARPS-POST
2458792.5954399998 -8.2051472020 2.0464971306 HARPS-POST
2458793.5742799998 -7.8881036183 1.4971291877 HARPS-POST
2458793.5892800000 -7.9780716536 1.8157442908 HARPS-POST
2458796.5621600002 -1.3344392124 1.3880391975 HARPS-POST
2458796.5771499998 -5.0303346581 2.3251082315 HARPS-POST
2458797.5609300002 -3.1642648263 1.9509848410 HARPS-POST
2458797.5752300001 -1.1794756821 2.1759280247 HARPS-POST
2458798.5765000000 0.1868311867 1.4473416421 HARPS-POST
2458798.5915000001 -1.3919232182 1.6279129172 HARPS-POST
2458799.5700599998 0.3377547129 1.7820057426 HARPS-POST
2458799.5850499999 0.0675062539 1.7367946245 HARPS-POST
2458804.5715800002 -8.3091625714 1.7848405053 HARPS-POST
2458805.5717900000 -5.7013681679 1.7856774234 HARPS-POST
2458805.6102499999 -6.6853105582 2.1118184952 HARPS-POST
