2458656.4937680000 4.3650000000 2.0700000000 HARPS
2458661.4671399998 -3.2400000000 1.4040000000 HARPS
2458802.8510530000 2.5720000000 1.0230000000 HARPS
2458803.8467790000 -5.5970000000 1.1080000000 HARPS
2458805.8455590000 -2.5720000000 1.9210000000 HARPS
2458806.8456159998 -9.2070000000 1.2040000000 HARPS
2458807.8463320001 -5.4800000000 1.2530000000 HARPS
2458821.8379650000 -0.9590000000 1.3100000000 HARPS
2458836.8586570001 -5.9460000000 1.4030000000 HARPS
2458837.8408289999 0.3450000000 1.8710000000 HARPS
2458838.8262419999 2.6910000000 2.0950000000 HARPS
2458840.7656279998 -5.1400000000 1.1270000000 HARPS
2458848.7812850000 4.3120000000 1.2650000000 HARPS
2458850.7059120000 2.1370000000 1.2580000000 HARPS
2458851.8279710002 7.4270000000 1.2830000000 HARPS
2458853.7784739998 -5.5500000000 1.2270000000 HARPS
2458855.7105470002 -3.7360000000 1.6250000000 HARPS
2458871.8315409999 8.8320000000 1.5420000000 HARPS
2458875.8540610000 5.2300000000 1.2050000000 HARPS
2458876.8223069999 0.5110000000 1.4740000000 HARPS
2458880.7095030001 -4.1510000000 1.1820000000 HARPS
2458881.8076559999 1.0540000000 1.3470000000 HARPS
2458882.6151120001 1.9650000000 1.4240000000 HARPS
2458883.7631589998 -2.3970000000 0.7930000000 HARPS
2458885.6638739998 10.5280000000 1.4020000000 HARPS
2458886.8195910002 -0.2670000000 1.4950000000 HARPS
2458887.6037170002 5.9620000000 1.5060000000 HARPS
2458888.7403670000 7.1570000000 1.2570000000 HARPS
2458893.7353849998 -9.2730000000 1.6070000000 HARPS
2458898.7436750000 5.4580000000 1.2530000000 HARPS
2458900.6597509999 -1.2270000000 1.2670000000 HARPS
2458901.8289009999 1.7860000000 1.4230000000 HARPS
2458903.7362640002 -7.5890000000 1.1390000000 HARPS
2458831.7602599999 -10.0560000000 1.3300000000 HARPN
2458838.7014970002 5.5500000000 1.3830000000 HARPN
2458849.7625819999 2.1630000000 1.4390000000 HARPN
2458850.7240499998 -5.7500000000 1.8790000000 HARPN
2458851.7509510000 4.7260000000 1.2990000000 HARPN
2458853.7202989999 -2.8600000000 1.4660000000 HARPN
2458854.7118119998 0.0840000000 1.6010000000 HARPN
2458859.6899680002 4.6640000000 1.5940000000 HARPN
2458860.6759199998 -1.6920000000 1.5140000000 HARPN
2458861.7485199999 9.4610000000 1.4280000000 HARPN
2458885.5911510000 3.2970000000 1.1580000000 HARPN
2458887.5656490000 3.1440000000 1.1890000000 HARPN
2458887.6367629999 0.8020000000 0.9790000000 HARPN
2458888.5747019998 3.1940000000 1.2920000000 HARPN
2458888.6854579998 6.5280000000 2.4980000000 HARPN
2458889.5591569999 2.5420000000 1.8230000000 HARPN
2458890.6074560001 -5.5370000000 1.0800000000 HARPN
2458891.6403819998 2.1550000000 2.1510000000 HARPN
2458899.5754959998 4.3270000000 1.4320000000 HARPN
2458907.4979160000 -8.8750000000 0.9590000000 HARPN
2458909.5012570000 0.7100000000 1.5410000000 HARPN
2458909.6069049998 2.0660000000 1.2600000000 HARPN
2458910.5688620000 -0.1810000000 1.3760000000 HARPN
2458910.6437120000 -5.9250000000 1.7820000000 HARPN
2458911.6068480001 -5.8470000000 2.2480000000 HARPN
2458912.5489170002 1.6940000000 1.5630000000 HARPN
2458914.5263510002 -5.3790000000 1.2290000000 HARPN
2458920.4742720001 -5.1990000000 1.9960000000 HARPN
2458921.5450300002 -0.9530000000 1.1880000000 HARPN
2458923.5636950000 1.1460000000 1.3060000000 HARPN
2458844.6306699999 3.8871910114 5.8612972923 CARMENES
2458844.7514599999 -7.2580456388 3.6310275847 CARMENES
2458846.6007400001 -1.6511879844 1.6156744794 CARMENES
2458846.7178000002 -2.3307041412 1.2584142447 CARMENES
2458848.6245599999 5.9614626091 1.3868301552 CARMENES
2458848.7360899998 8.5750475299 1.3392200394 CARMENES
2458849.5926600001 5.1697418315 1.4524183289 CARMENES
2458849.7366900002 2.0815527851 1.6475807032 CARMENES
2458850.6184299998 1.3253239387 1.1832202500 CARMENES
2458850.7276400002 -1.0622187913 1.3239633009 CARMENES
2458851.6315199998 0.3958414579 1.1040062497 CARMENES
2458851.7450400000 3.5005168567 1.1419257448 CARMENES
2458852.6589899999 5.4807782181 1.3316242171 CARMENES
2458852.7567599998 -0.7855403896 1.1041525133 CARMENES
2458854.6116399998 -8.3347803649 1.7149997023 CARMENES
2458855.6040900000 0.8451878221 1.5323649215 CARMENES
2458855.7448999998 -2.2183258155 1.5631036833 CARMENES
2458856.5828200001 -2.5184841323 1.3935294475 CARMENES
2458856.7207700000 -8.8989074839 1.5754991753 CARMENES
2458857.5756000001 -7.3117942534 1.4953354033 CARMENES
2458858.6324300002 1.6464875773 2.0864365231 CARMENES
2458860.5559700001 6.8641877334 2.4766665287 CARMENES
2458860.6797099998 1.5065263740 2.1968765664 CARMENES
2458864.5602899999 -4.1724863106 1.8737767880 CARMENES
2458865.5582499998 6.6258348088 2.6920950308 CARMENES
2458865.6785200001 3.8005282419 1.8902131487 CARMENES
2458866.6137399999 2.4676693975 2.6662553376 CARMENES
2458877.5200999998 0.4856858657 1.9642052558 CARMENES
2458877.6851200000 -0.9057595315 2.0344722538 CARMENES
2458878.5770800002 -1.0516601761 1.8708334540 CARMENES
2458880.6311100000 -5.5904934882 1.8113198702 CARMENES
2458880.7183099999 -3.2547893665 2.3343331946 CARMENES
2458881.5053400001 -2.5168245942 1.3604616835 CARMENES
2458881.6595899998 -0.8459918831 1.3308716395 CARMENES
