planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-60 c,3.84557937,0.381379772,0.41316142,2.051285136,0.066206687,0.066206687,8.91888,7.00E-05,1660.988251,,0.445536902,0.048220611,1.425372104,0.154268509,1.131,0.082,0.082,1.434,0.039,0.039,6024,113,,0.02,G,gas-rich,22.9,16.9,28.8,17.9,33,9.4,6.3,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-60 d,4.385867381,0.444943068,0.444943068,2.513609794,0.09313822,0.092016073,11.89889,0.0002,1508.809879,,0.276160726,0.029805446,1.685657541,0.181929471,1.131,0.082,0.082,1.434,0.039,0.039,6024,113,,0.02,G,gas-rich,34.2,13.1,39.9,9,45.7,4.5,9.2,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-65 d,4.1316142,0.953449431,0.953449431,1.526120232,0.044885889,0.044885889,8.13167,0.00023,1751.604946,,0.779974605,0.163250499,1.040087545,0.241961764,1.248,0.018,0.021,1.437,0.032,0.027,6211,66,4.232,0.17,G,bare rocky,22.4,25.4,21.9,23.2,17.5,15.1,8.9,,2019AJ....157..145M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-93 b,4.004487609,0.667414601,0.667414601,1.480112196,0.019076503,0.019076503,4.72673978,9.70E-07,1037,13,0.94141121,0.161436604,1.017288439,0.170054277,0.919,0.011,0.011,0.911,0.033,0.033,5669,75,4.47,-0.18,G,bare rocky,7.3,15.1,3.5,8,2.6,2.2,3.4,"(1.54, 0.4)",2015ApJ...800..135D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-95 b,13.03047555,2.860348292,2.860348292,3.42254905,0.089771778,0.089771778,11.5230758,9.10E-07,1441.680461,,0.233992382,0.050789044,1.710051023,0.378047346,1.08,0.08,0.08,1.41,0.04,0.04,5699,74,4.171,0.3,G,gas-rich,35.9,19.5,37.3,16.5,43.9,15.2,16.4,"(3.36, 0.6)",2014ApJS..210...20M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-105 c,4.608338915,0.921667783,0.889886135,1.312912259,0.067328834,0.067328834,7.125939,1.70E-05,1404.753346,,1.523671322,0.380917831,0.868759119,0.176472392,0.961,0.046,0.046,0.894,0.044,0.044,5827,94,,0.011,G,bare rocky,8,15.6,7.2,11.8,7.5,5.5,0.7,,2016ApJ...820...39J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-107 c,9.375586068,1.779772271,1.779772271,1.599059802,0.025809386,0.025809386,4.901452,1.00E-05,1379,17,1.72319971,0.326500998,0.873297926,0.166376739,1.238,0.029,0.029,1.447,0.014,0.014,5854,61,4.21,0.321,G,bare rocky,4,11.8,3.4,9.8,2.2,2.1,1.9,"(3.18, 0.62)",2019NatAs...3..416B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-128 b,3.782016075,0.762759545,0.667414601,1.422882687,0.0403973,0.0403973,15.090015,0.000233,970,64,1.312852952,0.251011347,0.993179264,0.189891232,1.184,0.074,0.074,1.659,0.038,0.038,6072,75,4.071,-0.09,G,bare rocky,27.1,29.1,32.8,35.2,28.3,23.2,0.4,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-128 c,3.368854655,0.667414601,0.603851306,1.522753791,0.047130184,0.047130184,22.802603,0.000338,843,54,0.954098486,0.182424526,1.096647145,0.209679963,1.184,0.074,0.074,1.659,0.038,0.038,6072,75,4.071,-0.09,G,bare rocky,34.5,30.8,35.8,37.4,45.5,32.2,3.4,,2023A+A...669A.117L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-223 b,7.405123912,1.303047555,1.112357669,2.996133103,0.179543557,0.269315335,7.38449,0.00022,1873.629858,,0.210411754,0.066297841,1.744023631,0.312999304,1.125,0.094,0.094,1.72,0.07,0.14,5821,123,4.07,-0.06,G,gas-rich,23,12.9,21.5,13.9,26.7,10.4,4.5,,2016Natur.533..509M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-289 c,5.339316812,0.444943068,0.41316142,3.02979752,0.078550306,0.078550306,66.0282,0.000821209,710.9773166,,0.155994921,0.012697261,1.926619056,0.162675846,1.08,0.02,0.02,1,0.02,0.02,5990,38,4.47,0.065,G,gas-rich,66.3,6,93.7,3,89.8,5.4,12.7,,2023AJ....165...48G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-307 b,7.436905559,0.921667783,0.858104488,2.435059488,0.089771778,0.089771778,10.415728,1.80E-05,1098.416217,,0.51506678,0.064490792,1.415787756,0.177268806,0.907,0.034,0.034,0.814,0.024,0.024,5367,94,,0.028,G,gas-rich,38.9,27.5,32.6,15.5,42.7,16.9,11,,2016ApJ...820...39J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-307 c,3.654889484,0.667414601,0.572069658,2.19940857,0.067328834,0.067328834,13.084194,3.30E-05,1018.000103,,0.343523546,0.059191283,1.549450611,0.266980153,0.907,0.034,0.034,0.814,0.024,0.024,5367,94,,0.028,G,gas-rich,33.1,18.5,40.7,17.1,47.6,4.6,15.3,,2016ApJ...820...39J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-406 b,6.356329538,1.271265908,1.271265908,1.436348454,0.033664417,0.033664417,2.4263068,1.30E-06,2054.564934,,1.616179938,0.370034464,0.871318628,0.17545622,1.07,0.06,0.06,1.07,0.02,0.02,5538,74,4.409,0.18,G,bare rocky,0.1,0.4,0,0.8,0.2,0.2,0.9,"(2.89, 0.6)",2014ApJS..210...20M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-454 b,6.801272605,1.398392498,1.398392498,2.367730655,0.134657668,0.134657668,10.5737534,7.80E-06,1296.204533,,0.512381324,0.109305316,1.410288366,0.300854088,1.028,0.04,0.03,1.066,0.012,0.012,5687,50,4.395,0.32,G,gas-rich,29.7,24.2,36.8,22.5,36.4,17.5,23.8,"(1.87, 0.4)",2016ApJ...816...95G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-538 b,10.58328868,2.510750167,2.383623577,2.217362926,0.0403973,0.033664417,81.73798,7.30E-05,380,,0.743696717,0.181389443,1.171958637,0.271699308,0.892,0.051,0.035,0.8717,0.0064,0.0061,5547,50,4.51,-0.03,G,gas-rich,54.7,18,87.5,17.5,91.8,13.2,6.4,"(1.89, 0.43)",2019AJ....158..165M
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1705 b,4.481212324,0.476724715,0.444943068,2.031086486,0.123436195,0.134657668,9.03502,0.00065,1621.824131,,0.406312353,0.082532197,1.354177435,0.163694433,1.139,0.087,0.081,1.259,0.032,0.051,6312,183.5,4.298,-0.2,G,gas-rich,26.5,22.3,32.2,22.2,30.6,9.9,3.5,,2021A+A...655A..66L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-1705 c,5.402880107,0.603851306,0.476724715,2.05352943,0.14587914,0.14587914,11.28,0.001,1506.180772,,0.480682024,0.101578088,1.301649588,0.159665419,1.139,0.087,0.081,1.259,0.032,0.051,6312,183.5,4.298,-0.2,G,bare water,46,29.2,34.8,23.7,47.1,23.5,2.8,,2021A+A...655A..66L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 b,9.502712659,0.889886135,0.889886135,2.729062062,0.075183864,0.075183864,4.65382,0.00032,1037,11,0.35189552,0.045347361,1.485013076,0.144957687,0.859,0.044,0.038,0.848,0.011,0.011,5320,39,4.516,-0.02,G,gas-rich,7.2,13.4,4.2,7.5,5.8,2.6,49.7,"(4.11, 0.36)",2020MNRAS.492.5399N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 c,6.642364367,0.985231078,0.985231078,2.760482185,0.100993251,0.100993251,9.15059,0.00076,828,9,0.235806276,0.045347361,1.654762124,0.252799245,0.859,0.044,0.038,0.848,0.011,0.011,5320,39,4.516,-0.02,G,gas-rich,26.2,9.9,31.9,14.5,36,6,59.7,"(2.25, 0.33)",2020MNRAS.492.5399N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 d,13.60254521,1.207702612,1.207702612,2.928804269,0.168322084,0.168322084,19.98,0.002556715,638,7,0.408126247,0.079811355,1.446460296,0.152981423,0.859,0.044,0.038,0.848,0.011,0.011,5320,39,4.516,-0.02,G,gas-rich,42.8,17.7,54.3,15.1,66.3,13.2,26.8,"(3.61, 0.31)",2020MNRAS.492.5399N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-130 b,7.786503684,1.398392498,1.303047555,2.457502433,0.044885889,0.044885889,14.33916,5.00E-05,943,12,0.399056775,0.072555777,1.411206538,0.246154362,1.126,0.035,0.036,1.194,0.016,0.017,6203,64,4.5,-0.12,G,gas-rich,36,26,38.8,23.1,43.8,17.1,64.7,"(1.93, 0.35)",2021A+A...648A..75S
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-132 b,22.78744139,1.811553918,1.811553918,3.433770523,0.134657668,0.134657668,2.1097008,1.20E-06,1384,64,0.424451297,0.060765463,1.475117179,0.130760526,0.97,0.06,0.06,0.9,0.02,0.02,5397,46,4.48,0.16,G,gas-rich,0.1,0.4,0,0.1,0.1,0.1,36.4,"(11.38, 0.85)",2020MNRAS.493..973D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-220 b,13.7932351,0.985231078,0.985231078,3.02979752,0.14587914,0.14587914,10.695264,8.60E-05,805,21,0.373662253,0.063486305,1.490718807,0.128412122,0.825,0.028,0.028,0.858,0.032,0.032,5298,65,4.37,-0.19,G,gas-rich,26.9,11.3,33.7,12.6,41.8,8.8,44.1,"(4.56, 0.32)",2021MNRAS.505.3361H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-421 c,7.055525787,0.699196249,0.699196249,2.726817768,0.190765029,0.190765029,5.19676,0.00049,1015,18,0.263014693,0.059858516,1.608139981,0.195075214,0.852,0.029,0.021,0.871,0.012,0.012,5325,68,4.486,-0.02,G,gas-rich,7.8,6.1,6.8,6.3,9.3,3.5,94.6,"(4.66, 0.29)",2020AJ....160..114C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 b,2.224715338,0.190689886,0.190689886,1.426249129,0.037030859,0.037030859,0.4465688,8.00E-07,2310,33,0.518773807,0.074369672,1.149046047,0.102908978,0.806,0.036,0.036,0.843,0.005,0.005,5372,70,4.47,-0.4,G,bare rocky,0,0,0,0,0,0,13.5,"(2.19, 0.39)",2022MNRAS.511.4551L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 c,6.578801072,0.730977897,0.730977897,2.917582797,0.033664417,0.033664417,10.778831,3.50E-05,800,11,0.165064393,0.021766733,1.753486575,0.19587956,0.806,0.036,0.036,0.843,0.005,0.005,5372,70,4.47,-0.4,G,gas-rich,31.8,10.2,38.5,10.4,43.5,4.6,91.2,"(2.07, 0.4)",2022MNRAS.511.4551L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 d,12.14058942,1.112357669,1.112357669,2.827811019,0.067328834,0.067328834,25.7124,0.0002,598,9,0.442590241,0.045347361,1.440166174,0.136334944,0.806,0.036,0.036,0.843,0.005,0.005,5372,70,4.47,-0.4,G,gas-rich,50.1,18.3,69.1,13.9,76.1,6.7,33.6,"(3.15, 0.27)",2022MNRAS.511.4551L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-561 e,13.60254521,1.398392498,1.398392498,2.547274211,0.123436195,0.134657668,77.03,0.296666667,415,6,0.571376746,0.105205877,1.258032518,0.144181309,0.806,0.036,0.036,0.843,0.005,0.005,5372,70,4.47,-0.4,G,gas-rich,52.2,14.3,89,16.7,80.5,30.7,15,"(2.46, 0.29)",2022MNRAS.511.4551L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-849 b,40.68050904,2.542531815,2.542531815,3.456213467,0.168322084,0.123436195,0.765524,2.70E-06,2779.289133,,0.761835661,0.108833666,1.269495795,0.095741765,0.929,0.023,0.023,0.919,0.31,0.022,5375,41.5,4.48,0.19,G,gas-rich,0,0,0,0,0,0,29.1,"(28.64, -1.82, 1.87)",2020Natur.583...39A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1062 b,10.17012726,0.82632284,0.858104488,2.266737404,0.095382515,0.090893926,4.11412,0.000755655,1077,9.5,0.663885362,0.108833666,1.211018663,0.111953583,0.94,0.02,0.02,0.84,0.09,0.09,5328,56,4.55,0.14,G,gas-rich,16.5,20.9,4.7,10,2.6,1.7,38.7,"(4.27, 0.33)",2021A+A...653A.105O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1422 b,8.994206296,2.288278634,2.002243804,3.961179721,0.134657668,0.112214723,12.9972,0.0006,867,17,0.108833666,0.035370941,2.187745258,0.526246524,0.981,0.062,0.065,1.019,0.014,0.013,5840,62,4.41,-0.09,G,gas-rich,45.5,20.1,51.4,23.6,49.2,10.9,89.4,"(2.47, -0.46, 0.5)",2022A+A...667A...8N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1444 b,3.84557937,0.699196249,0.699196249,1.398195448,0.063962392,0.063962392,0.4702694,4.40E-06,3278.317337,,1.406883472,0.26376939,0.971561073,0.182153019,0.934,0.038,0.038,0.907,0.016,0.016,5430,90,4.49,0.13,G,bare rocky,0,0,0,0,0,0,6.9,"(3.3, 0.59)",2021AJ....162...62D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2000 b,10.29725385,2.224715338,2.224715338,2.648267462,0.112214723,0.123436195,3.098331,2.00E-05,1475,139,0.419009614,0.106112824,1.41011117,0.311046462,1.074,0.059,0.05,1.113,0.011,0.011,5607,84,4.576,0.438,G,gas-rich,4.5,8.7,0.4,1,0.9,0.7,30.9,"(4.59, 1.0)",arXiv:2209.14396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-47 c,8.994206296,0.508506363,0.508506363,1.810023481,0.025809386,0.025809386,0.7895933,4.40E-06,3146.308862,,0.85978596,0.081625249,0.999669434,0.058288248,1.058,0.047,0.047,1.156,0.009,0.009,5576,67,4.3437,0.36,G,bare rocky,0,0,0,0,0,0,14.7,"(30.15, 4.17)",arXiv:2302.01352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-47 d,15.50944407,0.794541192,0.794541192,3.570672485,0.044885889,0.044885889,9.03055,8.00E-05,1393.192798,,0.235806276,0.023580628,1.702030161,0.089780845,1.058,0.047,0.047,1.156,0.009,0.009,5576,67,4.3437,0.36,G,gas-rich,27.4,8,31.5,9.4,36.3,5,29.5,"(4.01, 1.03)",arXiv:2302.01352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 307842 b,9.661620898,0.82632284,0.82632284,1.930093235,0.112214723,0.089771778,2.7970365,3.1e-06,1851.4682981192504,,1.015780882,0.181389443,1.045559039,0.104831136,0.91,0.1,0.1,0.907,0.017,0.017,5558,100.0,4.48,-0.13,G,bare rocky,2.3,4.8,0.2,0.8,0.3,0.4,51.3,"(4.67, 0.2)",2023AJ....166...32H
K2-93 c,4.385867381,1.112357669,1.112357669,2.73018421,0.06059595,0.06059595,31.7061,0.0002,757.0,5.5,0.163250499,0.041719572,1.830894998,0.466132102,1.16,0.04,0.04,1.273,0.015,0.015,6320,45.0,4.294,-0.1,G,gas-rich,56.6,12.8,75.7,20.8,82.6,15.2,,,arXiv:1911.07355
K2-182 b,20.02243804,5.08506363,5.08506363,2.693153351,0.067328834,0.044885889,4.7369696,1.7e-06,969.0,20.0,0.761835661,0.199528387,1.198118415,0.305306108,0.865,0.016,0.018,0.793,0.013,0.011,5710,100.0,4.61,0.12,G,gas-rich,13.7,20.7,6.0,13.0,4.8,2.9,15.7,"(8.4, 2)",2021AJ....162..294A
TOI-469 b,9.598057602,0.794541192,0.794541192,3.478656412,0.067328834,0.078550306,13.63083,3e-05,777.0,18.0,0.177761654,0.027208416,1.887802581,0.161210115,0.88,0.04,0.03,0.993,0.035,0.033,5289,69.0,4.39,0.24,G,gas-rich,38.6,7.6,48.8,10.1,53.1,4.5,108.3,"(2.8, 0.2)",arXiv:2308.13310
TOI-469 c,4.512993972,0.286034829,0.286034829,1.582227594,0.100993251,0.112214723,3.53796,3e-05,1217.0,29.0,0.852530383,0.20859786,1.052898698,0.097394952,0.88,0.04,0.03,0.993,0.035,0.033,5289,69.0,4.39,0.24,G,bare rocky,6.0,10.8,1.4,3.9,0.9,0.9,33.4,"(2.1, 0.1)",arXiv:2308.13310
TOI-733 b,5.720696584,0.699196249,0.667414601,1.994055627,0.085283189,0.089771778,4.884765,2.2e-05,1056.0,33.5,0.544168329,0.097950299,1.244575784,0.158377716,0.956,0.05,0.026,0.949,0.008,0.012,5585,60.0,4.47,-0.04,G,bare water,15.9,21.9,10.4,18.3,4.6,3.4,46.5,"(2.23, 0.26)",2023A+A...674A.117G
TOI-908 b,16.20864032,4.1316142,4.1316142,3.189142427,0.054985214,0.054985214,3.183792,7e-06,1317.0,38.0,0.375476147,0.040812625,1.502157182,0.383777715,0.95,0.01,0.01,1.028,0.03,0.03,5626,61.0,4.45,0.08,G,gas-rich,2.8,8.3,0.9,3.4,1.0,0.8,31.3,"(7.244, 1.768)",2023MNRAS.524.3877H
TOI-1054 b,7.691158741,0.985231078,0.985231078,3.09039347,0.058351656,0.05274092,15.507612,3.8e-05,1296.1188428442042,,0.195900599,0.029022311,1.780559706,0.230322523,1.044,0.038,0.044,1.205,0.008,0.008,6088,62.0,4.32,-0.185,G,gas-rich,39.6,12.4,49.4,9.5,56.0,4.8,115.1,"(1.92, 0.25)",2023A+A...675A.183C
GJ 3053 b,6.38,0.46,0.44,1.635,0.046,0.046,24.73694,0.00041,378.9,4.25,1.458371123,0.148739343,0.990828875,0.075240686,0.191,,,0.2134,,,2988,67,,,M,bare rocky,17.5,19.8,53.4,38.8,49.3,33.7,85.9,"(4.21, 0.24)",Dit17 Men19 Lil20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3053 c,1.76,0.17,0.16,1.169,0.037,0.038,3.777929,3.00E-05,708.9,7.9,1.10103392,0.140576818,1.003366822,0.09941996,0.191,,,0.2134,,,2988,67,,,M,bare rocky,4.4,13.5,6.8,18.7,7.1,9.5,32.1,"(2.22, 0.2)",Dit17 Men19 Lil20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHS 1478 b,2.33,0.2,0.2,1.242,0.051,0.049,1.9495378,3.63E-06,595,10,1.209867586,0.174133865,0.988180346,0.093687905,0.236,,,0.2464,,,3381,54,,,M,bare rocky,0.1,1.8,5.4,20.3,11.8,22.3,18.3,"(3.13, 0.25)",Sot21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1634 b,7.57,0.71,0.72,1.773,0.077,0.077,0.9893457,3.21E-05,921,21,1.376745873,0.224015962,1.025924154,0.106652877,0.452,,,0.451,,,3472,48,,,M,bare rocky,0.9,6.5,8.1,25.5,50.8,37.6,53.3,"(8.13, 0.82)",Clou21 Hir21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1685 b,3.09,0.59,0.58,1.7,0.07,0.07,0.6691425,4.38E-06,1069,16,0.623979684,0.145111555,1.253221136,0.242807225,0.495,,,0.492,,,3434,51,,,M,bare water,0.6,5.7,33,45.5,87.9,21.4,105.6,"(4.07, 0.84)",Hir21 Blu21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 3473 b,1.86,0.3,0.3,1.264,0.05,0.049,1.1980035,5.20E-06,773,15.5,0.912388899,0.181389443,1.068822869,0.177399428,0.36,,,0.36353,,,3347,54,,,M,bare rocky,1.1,6.5,18.3,36.5,34,33.9,14.3,"(2.21, 0.35)",Kem20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L98-59 c,2.42,0.35,0.34,1.34,0.07,0.07,3.6904,2.50E-06,517,11,0.99038636,0.206783965,1.055287796,0.160225955,0.312,,,0.314,,,3412,49,,,M,bare rocky,8.2,17.9,10.6,23.2,17.7,17.5,25.7,"(2.19, 0.2)",Kos19 Clo19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L98-59 d,2.31,0.46,0.45,1.58,0.08,0.08,7.4513,6.00E-06,409,8,0.575004535,0.14329766,1.260037815,0.256258216,0.312,,,0.314,,,3412,49,,,M,bare water,25.9,23.1,23.1,23.2,27,24.8,231.2,"(1.5, 0.22)",Kos19 Clo19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-146 b,5.77,0.18,0.18,2.05,0.06,0.06,2.6446,6.00E-05,590,,0.669327045,0.038091783,1.27652895,0.054605209,0.331,,,0.33,,,3385,70,,,M,bare water,6.2,12.8,19,33.3,17.3,17.3,37.3,"(4.94, 0.58)",Hir18 Ham19 Lam20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-146 c,7.49,0.24,0.24,2.19,0.07,0.07,4.00498,0.00011,520,,0.711046617,0.04897515,1.270859903,0.057518164,0.331,,,0.33,,,3385,70,,,M,bare water,25,23.1,18,24.6,20,8.5,30.9,"(5.64, -0.65, 0.73)",Hir18 Ham19 Lam20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 357 b,1.84,0.31,0.31,1.217,0.084,0.083,3.93072,2.83E-05,525,10,1.015780882,0.272084165,1.032091482,0.187751143,0.342,,,0.337,,,3505,51,,,M,bare rocky,5.9,13.7,13.9,24.9,11.5,12,29.3,"(1.52, 0.25)",Luq19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1235 b,6.69,0.67,0.69,1.694,0.08,0.077,3.444717,3.85E-05,775,13,1.315073463,0.217667332,1.013503531,0.113217691,0.63,,,0.619,,,3997,51,,,M,bare rocky,7.7,18.7,10.1,24.1,8,11.9,33.5,"(3.79, 0.4)",Blu21 Clo21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1132 b,1.66,0.23,0.23,1.13,0.056,0.056,1.628931,1.59E-05,529,9,1.142753492,0.235806276,0.985348299,0.144994325,0.181,,,0.2105,,,3270,140,,,M,bare rocky,4.7,14.9,15.2,33.6,26.3,36.8,27.9,"(2.77, 0.69)",Ber15 Bon18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 3780 b,2.47,0.24,0.24,1.32,0.06,0.06,0.768377,1.66E-05,1000,99,1.072011609,0.178668601,1.03380736,0.11089889,0.379,,,0.382,,,3360,51,,,M,bare rocky,0.4,4.4,16.7,35.9,66.8,35.8,19.2,"(3.36, 0.46)",Clo20a Now20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTT 3780 c,7.02,0.69,0.67,2.33,0.14,0.13,12.252131,0.000737585,397,38.5,0.549610013,0.108833666,1.375992799,0.155310974,0.379,,,0.382,,,3360,51,,,M,gas-rich,43.8,21.2,55,26.4,72.4,21.2,97.6,"(4.08, -0.49, 0.56)",Clo20a Now20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-18 b,8.64,1.35,1.35,2.711,0.065,0.065,32.939614,0.001142494,284,15,0.435334664,0.072555777,1.51362292,0.239271804,0.495,,,0.469,,,3457,39,,,M,gas-rich,79.2,7.9,92.5,18,95.5,14.4,41.8,"(3.36, 0.64)",Ben17 Sar18 Clou19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-776 b,4,0.9,0.9,1.85,0.13,0.13,8.24664,4.22E-05,514,17,0.616724107,0.181389443,1.271899545,0.299809442,0.538,,,0.544,,,3709,70,,,M,bare water,35.7,26.8,29.3,26,36.2,23.6,69.7,"(1.88, -0.44, 0.4)",Luq21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 486 b,2.82,0.11,0.12,1.305,0.063,0.067,1.467119,1.67E-05,701,13,1.269726102,0.199528387,0.986101373,0.06347843,0.323,,,0.3287,,,3340,54,,,M,bare rocky,0,1.3,4,17.8,12.1,22.3,35.4,"(3.37, 0.08)",Tri20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1214 b,6.26,0.86,0.86,2.85,0.2,0.2,1.580404497,1.20E-06,576,14,0.27027027,0.068021041,1.736019103,0.267808219,0.15,,,0.216,,,3026,150,,,M,gas-rich,4.5,17.1,35.1,44.4,36.1,28.2,655.7,"(12.63, 1.39)",Cha09 Ang13 Harp14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJ 1252 b,1.32,0.28,0.28,1.193,0.074,0.074,0.5182349,4.13E-06,1089,69,0.76546345,0.221295121,1.106758573,0.244598511,0.381,,,0.391,,,3458,140,,,M,bare rocky,0.5,5.4,25.9,42.9,87.5,25.2,31.7,"(2.58, 0.64)",Shp20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAPPIST-1 b,1.374,0.069,0.069,1.116,0.014,0.012,1.510826,4.91E-05,400.1,7.7,0.984037729,0.048703065,1.024166304,0.052797487,0.0898,,,0.1192,,,2566,26,,,M,bare rocky,0.2,1.4,10.2,27.3,15.3,23.9,29,"(3.82, -0.16, 0.24)",Gil16 Gil17 Gri18 Ago21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAPPIST-1 c,1.308,0.056,0.056,1.097,0.014,0.012,2.421937,1.20E-05,341.9,6.6,0.988028297,0.041447488,1.020213394,0.045321209,0.0899,,,0.1192,,,2566,26,,,M,bare rocky,0.1,0.7,2.4,13,4.5,11.1,24.7,"(3.09, 0.16)",Gil16 Gil17 Gri18 Ago21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAPPIST-1 f,1.039,0.031,0.031,1.045,0.013,0.012,9.20754,0.00026228,219,4.2,0.908579721,0.026845638,1.034250172,0.033245834,0.0902,,,0.1192,,,2566,26,,,M,bare rocky,1.5,3.7,0.9,1.2,2.4,5.8,17.2,"(1.58, 0.06)",Gil16 Gil17 Gri18 Ago21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAPPIST-1 g,1.321,0.038,0.038,1.129,0.015,0.015,12.352446,5.91E-05,198.6,3.8,0.914565572,0.026664248,1.047170755,0.033180742,0.0903,,,0.1192,,,2566,26,,,M,bare rocky,3.4,5.2,2,2.6,2.7,1,15.5,"(1.82, 0.07)",Gil16 Gil17 Gri18 Ago21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
