planet,mp,mpe+,mpe-,rp,rpe+,rpe-,P,Pe,teq,teqe,dp,dpe,Fp,Fpe,ms,mse+,mse-,rs,rse+,rse-,teff,teffe,logg,met,Host type,Likely nature,migrationA_photev_wwprob,migrationA_photev_wwprobe,migrationB_photev_wwprob,migrationB_photev_wwprobe,migrationB_impact_wwprob,migrationB_impact_wwprobe,TSM,K_RV,ref
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 110113 b,4.54477562,0.635632954,0.635632954,2.05352943,0.123436195,0.123436195,2.541,0.001,1371,14,0.39724288,0.091601669,1.36393874,0.20763245,0.997,0.06,0.06,0.968,0.018,0.018,5732,50,4.46,0.14,G,gas-rich,0.6,1.8,0.1,0.3,0.3,0.3,58.2,"(2.15, 0.28)",2021MNRAS.502.4842O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 119130 b,24.47186872,4.449430676,4.449430676,2.63704599,0.112214723,0.100993251,16.9841,0.0008,795,30.5,1.015780882,0.20859786,1.111225662,0.206974766,1,0.03,0.03,1.09,0.03,0.03,5725,65,4.33,0.07,G,gas-rich,32,27.3,50.2,37.1,36.4,26.2,11.3,"(6.1, 1.1)",2019A+A...623A.114L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 136352 b,4.67190221,0.41316142,0.41316142,1.645067839,0.034786564,0.034786564,11.577794,2.40E-05,905,14,0.796299655,0.090694722,1.084524973,0.098614083,0.876,0.026,0.032,1.054,0.014,0.014,5664,61,4.39,-0.24,G,bare rocky,27,33.8,22.7,30.2,26.5,35.5,134.5,"(1.48, 0.13)",2023A+A...671A.154E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 136352 c,11.21892163,0.603851306,0.572069658,2.855864699,0.058351656,0.057229509,27.592086,4.80E-05,677,11,0.360964992,0.029022311,1.485822932,0.083472009,0.876,0.026,0.032,1.054,0.014,0.014,5664,61,4.39,-0.24,G,gas-rich,44.2,6.8,68.8,9.7,77.9,2.2,222.7,"(2.6, 0.13)",2023A+A...671A.154E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 137496 b,4.036269257,0.540288011,0.540288011,1.312912259,0.056107361,0.044885889,1.62116,8.00E-05,2130,29.5,1.432976601,0.272084165,0.900445205,0.12540886,1.04,0.02,0.02,1.59,0.03,0.03,5799,61,4.05,-0.03,G,bare rocky,0,0,0,0,0,0,1.7,"(2.14, 0.29)",2022A+A...657A..68A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 183579 b,20.40381782,2.606095111,2.510750167,3.494366473,0.069573128,0.006396239,17.471291,2.80E-05,752,10,0.326500998,0.076183566,1.54665121,0.194661071,1.031,0.025,0.026,0.985,0.037,0.026,5788,44,4.5,-0.023,G,gas-rich,42.7,18.9,48.6,12.8,55.2,13.2,65.1,"(3.8, -1.15, 1.1)",2023A+A...671L...8B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 b,10.01121902,0.699196249,0.699196249,3.413571873,0.075183864,0.075183864,8.8803256,4.70E-06,880,20,0.19227281,0.019045892,1.831501039,0.134124197,0.92,0.06,0.06,0.945,0.021,0.021,5427,50,4.4,-0.16,G,gas-rich,29.8,8.4,32.8,10.8,36.6,4.8,151.6,"(3.68, 0.27)",2023A+A...669A..40O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 c,8.008975218,0.985231078,0.985231078,3.198119604,0.075183864,0.075183864,28.579743,4.50E-05,600,13,0.185017232,0.027208416,1.822572089,0.228262638,0.92,0.06,0.06,0.945,0.021,0.021,5427,50,4.4,-0.16,G,gas-rich,55.4,7.2,75.3,6.3,81.1,2.9,106.2,"(1.86, 0.27)",2023A+A...669A..40O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 191939 d,2.796784997,0.603851306,0.603851306,2.998377398,0.069573128,0.069573128,38.353037,6.00E-05,540,11,0.077997461,0.018138944,2.270741122,0.493096766,0.92,0.06,0.06,0.945,0.021,0.021,5427,50,4.4,-0.16,G,gas-rich,64.9,12.4,85.9,10,88.9,4.2,225.6,"(0.6, 0.22)",2023A+A...669A..40O
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 213885 b,8.835298058,0.667414601,0.635632954,1.747183237,0.050496625,0.051618773,1.008035,2.10E-05,1265,7.5,1.251587158,0.145111555,0.969623189,0.076910814,1.068,0.02,0.018,1.1101,0.008,0.0075,5978,50,4.3827,-0.04,G,bare rocky,0,0,0,0,0,0,34,"(5.3, 0.39)",2020MNRAS.491.2982E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-93 b,6.896617549,0.889886135,0.889886135,2.597770837,0.035908711,0.035908711,15.57209,2.00E-05,959,7,0.297478687,0.038091783,1.541496063,0.200040794,1.16,0.04,0.04,1.273,0.015,0.015,6320,45,4.294,-0.1,G,gas-rich,36.2,14,45.4,13.5,53.5,11,48,"(1.63, 0.27)",arXiv:1911.07355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-106 b,8.517481581,1.017012726,1.017012726,1.712396672,0.069573128,0.057229509,0.571302,1.60E-05,2275,34,1.287865046,0.20859786,0.959773854,0.119982927,0.96,0.063,0.062,0.98,0.024,0.022,5508,70,4.44,-0.03,G,bare rocky,0,0,0,0,0,0,12.3,"(6.52, 0.52)",arXiv:2208.07328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-131 b,6.292766242,1.398392498,1.398392498,1.652922869,0.065084539,0.056107361,0.3693038,9.10E-06,3167.164269,,1.05205877,0.362778886,1.005424476,0.226447536,0.793,0.024,0.04,0.744,0.01,0.009,5200,100,4.62,-0.02,G,bare rocky,0,0,0,0,0,0,39.8,"(7.03, 1.42)",2019ApJ...883...79D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-138 c,6.292766242,1.112357669,1.207702612,2.300401821,0.123436195,0.089771778,3.56004,0.00012,1140,19,0.380917831,0.08797388,1.399266922,0.265971282,0.93,0.02,0.02,0.86,0.03,0.02,5350,80,4.54,0.14,G,gas-rich,6.4,12.7,1.5,4.1,1.8,1.2,26.5,"(2.78, -0.55, 0.5)",2019A+A...631A..90L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K2-138 d,7.913630275,1.398392498,1.303047555,2.390173599,0.100993251,0.078550306,5.40479,0.00021,992,16.5,0.42989298,0.08797388,1.366548931,0.238826661,0.93,0.02,0.02,0.86,0.03,0.02,5350,80,4.54,0.14,G,gas-rich,16.3,21.8,7.1,10.9,8.1,4.8,20.6,"(3.03, 0.52)",2019A+A...631A..90L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
